PIB Total - variação % - Média - Trimestral - Período de 31/12/2015 a 29/12/2017 para jan/2016 a mar/2016 a jul/2017 a set/2017
Data;jan/2016 a mar/2016;abr/2016 a jun/2016;jul/2016 a set/2016;out/2016 a dez/2016;jan/2017 a mar/2017;abr/2017 a jun/2017;jul/2017 a set/2017;
31/12/2015;-4,53;-3,26;-2,12;-1,20;-0,41; ; ;
04/01/2016;-4,49;-3,27;-2,13;-1,19;-0,41; ; ;
05/01/2016;-4,49;-3,27;-2,13;-1,19;-0,41; ; ;
06/01/2016;-4,49;-3,27;-2,13;-1,19;-0,41; ; ;
07/01/2016;-4,49;-3,26;-2,12;-1,21;-0,43; ; ;
08/01/2016;-4,62;-3,36;-2,23;-1,27;-0,29; ; ;
11/01/2016;-4,59;-3,30;-2,24;-1,27;-0,25; ; ;
12/01/2016;-4,60;-3,32;-2,25;-1,27;-0,21; ; ;
13/01/2016;-4,61;-3,32;-2,23;-1,25;-0,21; ; ;
14/01/2016;-4,63;-3,31;-2,22;-1,20;-0,25; ; ;
15/01/2016;-4,66;-3,32;-2,22;-1,21;-0,39; ; ;
18/01/2016;-4,69;-3,34;-2,22;-1,21;-0,30; ; ;
19/01/2016;-4,72;-3,39;-2,27;-1,24;-0,35; ; ;
20/01/2016;-4,73;-3,40;-2,28;-1,25;-0,35; ; ;
21/01/2016;-4,74;-3,42;-2,33;-1,31;-0,35; ; ;
22/01/2016;-4,76;-3,45;-2,35;-1,32;-0,34; ; ;
25/01/2016;-4,76;-3,45;-2,35;-1,32;-0,34; ; ;
26/01/2016;-4,76;-3,45;-2,35;-1,32;-0,34; ; ;
27/01/2016;-4,76;-3,45;-2,35;-1,32;-0,34; ; ;
28/01/2016;-4,75;-3,45;-2,36;-1,36;-0,34; ; ;
29/01/2016;-4,75;-3,45;-2,36;-1,36;-0,34; ; ;
01/02/2016;-4,74;-3,48;-2,41;-1,44;-0,41; ; ;
02/02/2016;-4,76;-3,48;-2,38;-1,41;-0,40; ; ;
03/02/2016;-4,82;-3,52;-2,39;-1,39;-0,34; ; ;
04/02/2016;-4,95;-3,53;-2,38;-1,36;-0,32; ; ;
05/02/2016;-4,92;-3,53;-2,36;-1,34;-0,32; ; ;
10/02/2016;-4,90;-3,58;-2,47;-1,39;-0,35; ; ;
11/02/2016;-5,00;-3,70;-2,57;-1,47;-0,35; ; ;
12/02/2016;-5,04;-3,72;-2,58;-1,47;-0,34; ; ;
15/02/2016;-5,06;-3,71;-2,57;-1,41;-0,30; ; ;
16/02/2016;-5,06;-3,71;-2,57;-1,41;-0,30; ; ;
17/02/2016;-5,08;-3,73;-2,61;-1,46;-0,34; ; ;
18/02/2016;-5,12;-3,76;-2,62;-1,44;-0,32; ; ;
19/02/2016;-5,17;-3,79;-2,62;-1,37;-0,31; ; ;
22/02/2016;-5,23;-3,83;-2,66;-1,38;-0,29; ; ;
23/02/2016;-5,23;-3,83;-2,66;-1,38;-0,29; ; ;
24/02/2016;-5,23;-3,83;-2,66;-1,38;-0,29; ; ;
25/02/2016;-5,26;-3,86;-2,68;-1,40;-0,29; ; ;
26/02/2016;-5,26;-3,86;-2,68;-1,40;-0,29; ; ;
29/02/2016;-5,27;-3,86;-2,72;-1,40;-0,29; ; ;
01/03/2016;-5,27;-3,87;-2,73;-1,43;-0,33; ; ;
02/03/2016;-5,29;-3,87;-2,73;-1,43;-0,33; ; ;
