data;serie1;serie12;serie188;serie189;serie192;serie193;serie194;serie206;serie225;serie432;serie433;serie1178;serie1344;serie1373;serie1374;serie1375;serie1376;serie1377;serie1378;serie1379;serie1380;serie1382;serie1383;serie1384;serie1385;serie1386;serie1387;serie1388;serie1389;serie1390;serie1391;serie1392;serie1402;serie1403;serie1404;serie1405;serie1406;serie1453;serie1454;serie1455;serie1483;serie1496;serie1509;serie1522;serie1548;serie1561;serie2053;serie2057;serie2058;serie4393;serie4394;serie4395;serie4503;serie4506;serie4507;serie4508;serie4509;serie4513;serie7341;serie7357;serie7384;serie7385;serie7386;serie7412;serie7413;serie7415;serie7416;serie7417;serie7418;serie7419;serie7478;serie7495;serie7832;serie13667;serie13673;serie13679;serie13685;serie20048;serie20050;serie20051;serie20052;serie20099;serie20101;serie20102;serie20104;serie20105;serie20106;serie20339;serie20340;serie20341;serie21637;serie21859;serie21861;serie21862;serie21863;serie21864;serie21865;serie21866;serie21867;serie21868;serie21924;serie21930;serie21934;serie21939;serie21961;serie22099;serie22109;serie22704;serie22705;serie22706;serie22707;serie24352;serie24369;serie24370;serie24378;serie24379;serie24382;serie25241;ICI;ISA;IE;ICOM;ISACOM;IECOM;ICS;ISAS;IES;IAE_AGRO;IAE_IND;IAE_SERV;IAE_IMP;IAE
2000-01-01;1,80372381;0,06816519;0,61;1,24;1,07;0,57;1,19;134,36;1,02;19;0,62;18,93761905;79,4;92704;88435;3413;856;43909;92568;79396;13172;56;1072;91;354;40;187;1613;1155;32;1187;217;4083;7230;10024;3724;25060;1198602;1303162;46;79,8;54,3;47,2;24,9;49,9;53,6;321797,85;149443,84;22817,56;100,91;71,17;120,73;;;;;;;63,76;120,22;69984;9414;3666;220885,77;7100;916;383;427;104;2;;1,02;-4,11;;;;;54,5;62,85;51,48;28,49;;;;;;;;;;;;;;;;;;;;;;;;;;;-573,9;4122,8;4696,7;-171,8;;;;;;;94,66;;;;;;;;;;63,2627820364689;86,642560634004;93,1531431521115;86,2378086925113;89,2862326356902
2000-02-01;1,775290476;0,06813019;0,05;0,35;0,77;-0,23;-0,2;131,51;0,17;19;0,13;18,86952381;80,2;126595;120251;5078;1266;50737;122777;101459;21318;56;1431;112;482;93;261;2174;1121;31;1152;213;4016;7001;10388;3652;25057;1268978;1395497;46,5;78,1;53,9;51,7;24;58,4;53,1;323486,02;152007,85;24242,92;107,34;86,37;121,31;;;;;;;64,07;108,26;82262;10790;4675;211485,61;7400;1962;989;776;193;4;;0,2;7,81;;;;;53,47;61,53;49,62;29,26;;;;;;;;;;;;;;;;;;;;;;;;;;;-367,4;4842,5;5209,9;48,8;;;;;;;95,08;;;;;;;;;;90,1805790815631;90,8841742557342;93,8336620444818;90,397070460027;92,5588781957866
2000-03-01;1,742033333;0,068051857;0,13;0,15;0,56;0,23;0,77;130,75;-0,05;18,9516129;0,22;18,84666667;81;130730;123461;5635;1634;50069;128760;105733;23027;80;1860;124;514;107;311;2685;1189;37;1226;221;4099;7099;10769;3695;25662;1346106;1455637;48,5;80,5;57,2;54,3;25,4;56,3;56,7;321925,37;151371,55;24387,11;100,09;79,93;113,53;;;;;;;64,38;119,21;76748;10062;4449;219000;8600;3441;1924;1215;293;8;;0,95;0,91;15,44;4,47;5,21;4,79;53;61,29;47,52;29,51;;;;;;;;;;;;;;;;;;;;;;;;;106,519876527748;109,933121033858;-671,7;5095,6;5767,3;-80,2;;;;;;;95,36;;;;;;;;;;113,018647779769;94,7878468766475;94,9703919234456;95,0853487675442;95,8917553673613
2000-04-01;1,768168421;0,067160316;0,09;0,23;0,6;0,09;0,29;131,74;-0,02;18,5;0,42;18,61842105;81,8;129116;121388;5612;2116;51998;126873;104332;22541;100;1873;149;233;140;389;2495;1161;38;1199;222;4065;6962;10942;3628;25598;1249781;1455754;48,5;80,1;58,3;59,6;24,3;52,9;57,7;329618,9;152076,57;24581,9;93,93;70,42;109,61;;;;;;;64,69;110,57;91613;15544;4445;199900;7100;4304;2314;1573;406;11;;0,32;-12,81;15,65;4,6;5,16;4,83;53,27;62,31;46,14;28,71;;;;;;;;;;;;;;;;;;;;;;;;;;;-430,4;4753,9;5184,2;99;;;;;;;95,94;;;;;;;;;;101,952598957529;91,5536849557405;95,0381142773727;91,5060236474812;94,1793163625501
2000-05-01;1,827931818;0,067166045;-0,05;0,31;1,35;0,03;-0,2;130,53;0,69;18,5;0,01;18,51272727;81,73333333;144738;135402;6784;2552;58710;144805;114966;29839;110;2420;151;255;141;402;3077;1159;40;1199;225;3931;6910;10882;3725;25448;1480989;1638495;50,5;79,5;55,8;73,6;29,4;59,1;55,2;333971,2;152528,5;24898,1;89,44;69,29;102,87;;;;;;;64,59;123,73;98154;17776;5276;234900;8500;5384;2859;1944;568;13;0,09;0,3;-3,74;14,77;4,53;5,41;4,89;56,65;65,82;48,22;32,81;;;;;;;;;;;;;;;;;;;;;;;;;;;-328,6;5774,5;6103,1;301;;;;;;;96,74;;;;;;;;;;98,0967551730632;99,2367401177829;96,784463984469;98,7449861797161;97,6630721377249
2000-06-01;1,808328571;0,065530619;0,3;0,85;0,73;0,18;0,15;132,04;1,45;18,16666667;0,23;18,04142857;81,66666667;145172;136157;6339;2676;51573;136402;110145;26257;100;2723;137;248;176;413;3384;1209;37;1246;232;3736;6737;11216;3756;25445;1501091;1623429;48,1;79,3;55,8;68,9;25,7;54,1;55,3;334276,05;152867,51;25165,45;94,54;74,58;107,86;;;;;;;64,49;115,19;88517;20647;5220;219000;7600;6688;3571;2356;744;17;0,08;0,87;11,84;14,64;4,37;5,22;4,72;56,22;64,67;47,68;34,94;;;;;;;;;;;;;;;;;;;;;;;;;110,450132278131;110,549732194823;-475,2;5612,9;6088;161,8;;;;;;;97,03;;;;;;;;;;97,570046196521;98,0607810988702;96,8134175824997;98,2959195216802;97,3379375745934
2000-07-01;1,79782381;0,061594905;1,39;1,57;0,3;1,4;2,13;135,55;2,79;16,9516129;1,61;16,84857143;81,6;141751;132860;6462;2429;57291;138177;111040;27137;49;3054;109;145;168;326;3525;1187;35;1222;230;3756;6731;11049;3751;25287;1510096;1642394;49,8;79,9;57,9;67,3;28,4;59,4;57,5;335626,34;153974;25673,63;98,31;74,01;114,5;;;;;;;64,39;114,74;97353;17754;5092;222548,44;7916,45;9528;4247;4336;927;19;0,78;0,77;-1,63;14,56;4,72;5,32;4,96;55,94;64,27;48,51;34,04;;;;;;;;;;;;;;;;;;;;;;;;;;;-709,4;5677,2;6386,5;100;;;;;;;97,43;;;;;;;;;;116,878454369544;100,485705205152;97,2815488835955;100,746494915484;99,4679133632098
2000-08-01;1,80923913;0,060251348;1,21;2,39;0,39;1,55;1,31;138,55;2,56;16,5;1,31;16,5226087;81,86666667;161503;151584;7657;2262;64211;151264;124608;26656;55;3203;118;294;155;328;3825;1192;35;1228;224;3650;6759;11271;3790;25470;1540235;1723035;49,7;76,2;57,1;63,1;29,3;63,9;56,7;330881,45;158417,64;26191,34;91,2;68,83;106,11;;;;;;;64,08666667;122,53;107994;19109;5711;227800;8300;10923;4882;4867;1118;56;1,99;0,49;5,42;14,58;4,76;4,14;4,51;56,41;64,41;48,68;35,92;;;;;;;;;;;;;;;;;;;;;;;;;;;-703,6;6276,8;6980,3;24,1;;;;;;;97,85;;;;;;;;;;94,4971194697308;105,351210758186;98,8271099596205;106,025779822438;101,002712199969
2000-09-01;1,83919;0,0605027;0,43;1,16;0,26;0,27;0,41;140,32;1,09;16,5;0,23;16,5605;82,13333333;141474;132418;7081;1975;39698;139515;115432;24083;54;2950;109;241;91;254;3445;1299;34;1333;235;3886;6985;11094;3812;25777;1409249;1575551;48,4;75,3;57,4;57,1;27,2;56,2;57,1;332033,3;161804,64;26676,97;92,02;72,96;104,73;;;;;;;63,78333333;119,41;94587;19897;5205;210800;8100;12210;5507;5339;1305;58;0,45;0,25;-8,17;10,99;4,05;3,59;3,87;58,42;65,63;51,64;39,72;;;;;;;;;;;;;;;;;;;;;;;;;114,215449842556;111,498351776694;-542,3;5978,6;6520,9;-432,2;;;;;;;98,75;;;;;;;;;;72,4205018579103;99,8680618817261;98,1466613959738;100,984993608063;97,5918843298271
2000-10-01;1,879638095;0,060560476;0,16;0,38;0,33;0,01;0;140,51;0,56;16,5;0,14;16,59619048;82,4;140295;131719;7054;1522;56746;141870;116967;24903;62;2736;107;379;113;282;3397;1314;39;1353;233;4014;7126;11350;3824;26313;1522723;1570823;49,4;77,5;56,8;59,7;28,7;61,3;56,3;342280,95;164413,85;23640,07;98,51;79,11;111,45;;;;;;;63,48;119,56;102438;21104;5723;232551,69;9161,23;14895;7411;5886;1502;96;0,18;0,15;-6,66;9,61;4,19;3,61;3,97;60,08;68,5;49,68;40,55;;;;;;;;;;;;;;;;;;;;;;;;;;;-1360,8;5329,9;6690,7;-640,8;;;;;;;99,19;;;;;;;;;;60,7743569816129;104,495713151557;98,9616038165872;105,097267853394;99,034863024593
